num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test_avg,auc_test_sd
200,0.03,50,0.6,0.8,0.1,0,1,495.4,4.2116,0.788293542150508,0.00158925841709515,0.723144981513305,0.00231210649064027
5000,0.03,50,1,0.6,0,0.01,2,250.2,11.95425,0.791957372334741,0.0016983440798005,0.732644813533755,0.00184936771557532
5000,0.1,5,0.8,1,0,0.01,3,33.95,8.40489999999999,0.800584990894827,0.00125561250169598,0.749156047358491,0.00205425405313052
200,0.01,20,0.6,0.8,0,0.01,4,1095,9.28054999999996,0.787733303807144,0.00139923381827546,0.726305966732273,0.00219388438993
100,0.1,5,1,0.4,0,0.3,5,245.6,1.27539999999999,0.787748037585345,0.00175069839702623,0.734584447940127,0.00174277287312448
500,0.1,10,0.8,0.6,0,0.01,6,94.85,1.96545000000003,0.80226824092923,0.00139347722179284,0.74388159141264,0.00195665992109027
5000,0.01,20,1,0.6,0,0,7,425.75,51.0857,0.783812254109439,0.00141642619180188,0.729878313905452,0.00201571905467454
1000,0.1,20,0.8,0.6,0.01,0,8,73.4,3.11755000000012,0.803575477662336,0.00137451984079618,0.741784069868219,0.00200961594346767
5000,0.01,20,0.8,0.8,0.01,0.01,9,495.25,50.66085,0.803605251039444,0.0011858826523806,0.740235984061904,0.00205524056219106
2000,0.01,10,1,0.4,0.01,0,10,416.25,35.5298,0.789582079093407,0.00108290678009551,0.734522475627661,0.0021752978633002
2000,0.1,20,1,1,0.1,0.01,11,48.3,4.66410000000005,0.782793859342886,0.00176687197892049,0.732377940766706,0.00200076670603934
500,0.03,10,1,0.8,0.1,0,12,293.2,5.96374999999998,0.798848700176517,0.00131237327456868,0.740064991742361,0.00180926968337642
500,0.1,5,0.8,1,0.3,0,13,98.3,2.1503999999999,0.808687509171401,0.00109755393574709,0.74750471046781,0.00182114048879434
2000,0.01,50,1,0.4,0,0.3,14,751.45,32.5882000000001,0.794866339838377,0.00136862614851209,0.732252690371904,0.00186170712241115
5000,0.01,50,0.6,0.6,0,0,15,740.35,28.2793000000001,0.788415289132339,0.00133923545076051,0.727240901772118,0.00234334883930632
5000,0.03,5,0.6,0.4,0.3,0.1,16,192.95,27.135,0.799515837718476,0.00111123553848021,0.736697713270535,0.00218853112726501
2000,0.1,5,0.6,0.4,0,0,17,53.75,4.87974999999969,0.787648275108135,0.00138958308137535,0.733687152886856,0.00236932775774525
5000,0.01,50,0.6,0.4,0.3,0,18,867.6,26.9306999999999,0.79100370065621,0.00193123256853869,0.728030045701859,0.00244012940176136
5000,0.1,20,0.8,0.4,0,0,19,45.5,5.96479999999992,0.796739445500034,0.00150650302498103,0.742324617720152,0.00196696195171257
5000,0.1,10,0.8,0.6,0.01,0,20,37.05,7.67849999999971,0.795873550952099,0.00204851323147363,0.747506533898696,0.00209707699434227
5000,0.01,5,0.6,0.8,0,0,21,362.2,68.7490499999999,0.798256252445463,0.00111622142563911,0.735377201486105,0.00228922554472575
2000,0.03,50,0.6,1,0,0,22,342.95,13.4049500000001,0.792788758255409,0.00149785713135705,0.728803581199091,0.00234581964943645
1000,0.1,10,0.6,1,0,0,23,68.45,2.88149999999969,0.792471424638641,0.00124256400546119,0.728397405525895,0.00225491639952752
100,0.01,20,1,1,0,0,24,1645.45,8.26669999999995,0.785826811613146,0.00158112660662412,0.728229162699025,0.00194203192523001
5000,0.01,20,1,0.8,0,0,25,428.5,50.23105,0.786487357607407,0.00132727388538261,0.730919245190628,0.00189512396616456
200,0.03,10,1,0.8,0.01,0.1,26,485.1,4.38060000000005,0.795641467335251,0.00131291227883532,0.736311244503527,0.00181110155176873
100,0.1,50,1,0.8,0.01,0,27,246.05,1.45604999999941,0.790261502666769,0.0016645496440058,0.733571151652941,0.00207124454098566
2000,0.1,10,0.6,1,0,0.3,28,65.8,5.74185000000034,0.794651416557506,0.00183914228458343,0.730302779720246,0.00220699265055946
100,0.01,20,1,0.8,0.1,0.1,29,1694.05,8.7122000000003,0.787058740836131,0.00156426436343612,0.729339764323513,0.00202882988515877
2000,0.03,50,1,0.4,0,0,30,249.1,12.3219500000005,0.795107911134776,0.00175967140416962,0.732815561705604,0.00177608810759066
5000,0.1,50,0.6,0.6,0,0,31,85.15,3.67974999999969,0.781608830117892,0.00136730476394089,0.722706214904799,0.0023913919757029
2000,0.01,50,1,1,0.1,0,32,732.25,33.6602000000003,0.791373398715735,0.00125192596717394,0.73150973050598,0.00189656481822839
100,0.01,5,1,1,0,0,33,1665.3,8.62790000000005,0.783047428929322,0.00133934464078655,0.728894284045484,0.00167598347404097
2000,0.01,5,0.8,1,0,0,34,444,36.9664499999999,0.814246520891619,0.00146550244632235,0.747448516251052,0.00215970620571533
2000,0.03,10,0.8,1,0,0,35,160.4,13.9895,0.808969982904969,0.00169131589691264,0.7434116112629,0.00210789768432663
2000,0.01,10,1,0.4,0,0.1,36,419.45,35.4347000000002,0.789777530453203,0.00128271102112973,0.735077273336161,0.00200906014525673
2000,0.1,5,0.8,1,0,0,37,44.85,4.59219999999987,0.805986931445475,0.00136046330915719,0.751420407398978,0.00183069193021998
1000,0.01,5,1,0.8,0.1,0,38,584.95,23.0081999999999,0.804238661849547,0.00202627426717689,0.743043571202373,0.00173785951871213
200,0.03,50,0.6,0.8,0.3,0.3,39,510.5,4.63990000000013,0.788824253057131,0.00136455972079891,0.723455852245052,0.00228988891310819
500,0.01,10,0.6,0.8,0.01,0.1,40,830.2,15.9611000000001,0.799308227148977,0.00153607497781551,0.732630616995861,0.00213115630921976
1000,0.01,5,0.8,0.4,0.3,0,41,670.15,25.5952500000001,0.817481840844254,0.00165116559720666,0.748884126772546,0.00208144240868024
1000,0.1,20,0.8,0.8,0,0.01,42,74.25,3.22185000000027,0.802576121300649,0.00128850673626037,0.741066769913599,0.00203453676097778
100,0.1,5,0.6,0.6,0,0,43,196.3,1.18004999999939,0.774298062345061,0.00207836022345232,0.720095553115763,0.00189210168750444
100,0.01,10,1,0.6,0,0.01,44,1662.4,8.32379999999939,0.785380049192551,0.00148629778321049,0.728962629076868,0.00186936791930906
500,0.1,20,0.8,0.4,0,0,45,91.25,2.04319999999898,0.797558217347458,0.00152201322051121,0.7402857265489,0.00199773612413769
200,0.03,50,0.6,0.8,0,0,46,488.1,4.35525000000052,0.784899296106119,0.00132369484799808,0.723096256418486,0.00225917624214396
500,0.1,20,0.8,0.4,0.1,0.01,47,96.4,2.1390999999996,0.797946262801347,0.00170218393119264,0.740601479650344,0.00203354775057054
200,0.03,50,1,0.8,0,0,48,521.5,4.57219999999943,0.797420448007672,0.00178201903946785,0.736297825209765,0.00208313395427846
200,0.01,10,1,1,0.01,0,49,1190.05,10.2939499999997,0.794070124306061,0.00159378718165542,0.73460409608153,0.00175250917521503
2000,0.01,20,1,0.6,0,0.1,50,471.7,38.2425000000003,0.787584766809749,0.00177232444592121,0.732204854752618,0.00197468796122166
5000,0.01,10,0.8,0.8,0,0,51,359,69.4015999999989,0.808426481128471,0.00144265608014597,0.741359330376635,0.00205965699989979
1000,0.03,50,0.8,0.4,0,0,52,266.55,9.93134999999893,0.802373763572969,0.00150748953737239,0.73738010637954,0.00204549457317267
5000,0.1,5,0.8,0.4,0,0.1,53,34.35,8.646899999999,0.797877690903286,0.00144380596268803,0.749175829588418,0.00192904703265573
1000,0.01,10,1,0.8,0,0,54,559.55,21.6616499999982,0.796610195254037,0.00139605134288494,0.738979540470026,0.00203805407047546
200,0.03,50,1,0.6,0,0,55,517.1,4.71495000000104,0.792870558332542,0.00187299298957691,0.735304104574053,0.00202504628939085
100,0.1,50,0.8,0.8,0,0,56,256.25,1.5369999999999,0.790337370250814,0.00219399982790179,0.733124931420132,0.00219917440838352
2000,0.01,5,1,0.4,0,0,57,411.5,34.6811500000003,0.791995983000322,0.00127322172531698,0.738962611809297,0.00203410106789552
200,0.03,5,0.6,1,0,0.1,58,402.1,3.66659999999974,0.784098940043924,0.00109832227671711,0.727290693021978,0.00183015307280379
1000,0.01,20,0.6,0.8,0,0,59,653.35,23.4239500000007,0.799111486696331,0.0013422793112804,0.731988233104752,0.00239111567985236
5000,0.03,5,0.6,0.8,0.3,0.1,60,194.1,27.050250000001,0.799264195258167,0.00159479858666593,0.736732735521519,0.0022530268872956
1000,0.01,50,0.6,0.6,0,0.3,61,811.05,23.9070000000014,0.790283296098649,0.00142699598213304,0.72778894288424,0.0022725601284837
5000,0.01,20,0.6,0.4,0,0,62,606.65,54.6755499999992,0.796486436348218,0.00125857838124688,0.731623270704461,0.00230573275752607
2000,0.1,5,0.6,0.8,0,0,63,54.4,5.22209999999941,0.787023687649596,0.00172089075863786,0.733162207092356,0.00223386645383782
5000,0.01,5,1,0.8,0,0,64,280.9,58.5305000000011,0.768032007357778,0.00157616724277141,0.725218905988437,0.00212367641779034
100,0.03,10,1,0.8,0.01,0,65,655.9,3.6067999999992,0.787595685864723,0.00160859627023955,0.729991375616491,0.0017896625727561
500,0.01,50,0.6,0.8,0.3,0.01,66,985.1,18.3434999999987,0.792490086555918,0.00139795262070104,0.72749253444922,0.00238061286335489
1000,0.03,50,0.6,0.4,0,0,67,341,11.1403000000009,0.791711000084207,0.0012312198707244,0.727575957896919,0.0022995445758235
1000,0.01,20,0.8,1,0,0,68,642,23.98815,0.808348077426237,0.00131795526200489,0.741730778536304,0.00211213007428613
2000,0.01,10,0.6,0.8,0,0,69,538.2,43.0634500000007,0.800207121329932,0.00122617337251054,0.734076606451219,0.00227992933496627
100,0.1,10,0.8,0.8,0.3,0,70,276.2,1.7760499999993,0.794218745787054,0.00145862752188895,0.735763492629865,0.00200787581780642
2000,0.01,10,1,1,0.1,0,71,419.2,35.4963499999994,0.789422881940988,0.00160831929802662,0.734835867950074,0.00211827812933281
200,0.03,5,1,0.8,0,0.3,72,528.35,4.95095000000001,0.797940600852207,0.00146418422780454,0.738816491836559,0.00162389383662084
100,0.03,20,1,0.8,0,0,73,594.85,3.33074999999917,0.787248193039144,0.0015095926067435,0.729203081167186,0.00199485532342905
200,0.1,20,0.6,0.6,0,0.1,74,153.6,1.7637999999999,0.785011862092736,0.00179062996239697,0.724642602069858,0.00222991050659879
1000,0.01,50,0.8,0.6,0.01,0,75,773.05,27.8829999999991,0.80302322760738,0.00130443431220004,0.737695971157471,0.00191918802124848
5000,0.1,20,0.8,0.6,0.01,0,76,45.9,5.80624999999927,0.797987851704324,0.00160202005784862,0.741811052971049,0.00196855705524214
1000,0.01,20,0.6,1,0.01,0,77,646.1,23.4822499999995,0.797815263183489,0.00122797913300311,0.731649817554127,0.00232169789786185
500,0.03,5,1,0.6,0,0,78,267.7,5.72485000000015,0.79869507732157,0.00159429881378461,0.741150785002158,0.00159313826876036
200,0.1,5,1,0.8,0,0,79,135.2,1.64800000000032,0.790763532789102,0.00207318742425423,0.737824834767947,0.00154456134422182
100,0.03,10,1,0.8,0.01,0.01,80,658.8,3.71229999999923,0.78697334898199,0.00195011338881419,0.73104877207955,0.00180487124072758
200,0.1,20,0.6,0.6,0,0.3,81,176.4,1.99185000000034,0.785322871859092,0.00195387999890304,0.726041660344395,0.0022798540882487
500,0.1,50,0.6,0.4,0,0,82,107.95,2.59484999999877,0.785446782081459,0.00208425690128443,0.722858502011796,0.00257226890179431
500,0.1,20,1,1,0.3,0,83,102.5,2.57604999999967,0.795178874639564,0.00151627269458569,0.740928605191836,0.00194437038582323
5000,0.03,10,0.8,0.8,0.1,0,84,131.55,21.3587000000007,0.80488407077742,0.00172530990281775,0.740626871808947,0.00212868924896759
500,0.03,5,0.8,0.8,0,0,85,304.15,6.35740000000114,0.812303723050231,0.00140132501513907,0.746379581498471,0.00187572781206878
1000,0.01,10,1,1,0,0.3,86,615.2,24.3977500000023,0.795929605159923,0.00123997624342262,0.739202175570606,0.00198937599094205
2000,0.01,20,0.6,0.4,0.1,0,87,619.5,42.7379999999997,0.797846630896894,0.00170025357130534,0.732888836215258,0.00231594969809365
5000,0.03,10,1,0.4,0,0,88,110.65,23.584150000001,0.774677223435328,0.00165776619906156,0.727149987264661,0.00228475330489443
2000,0.03,50,0.6,1,0,0,89,338.85,13.5963499999969,0.792048394020365,0.0011583906922407,0.728503077675136,0.00244606187346474
200,0.03,50,0.6,1,0,0.3,90,508.1,4.93350000000137,0.787553367101601,0.00140422646059083,0.722680216642422,0.00228618049520376
1000,0.03,20,0.8,0.4,0,0,91,224.9,9.08435000000027,0.805055829497583,0.00175639649313409,0.741663764773563,0.00212240734729544
2000,0.01,10,0.6,0.4,0,0.3,92,599.8,47.3322500000002,0.802653411373368,0.00100788888358833,0.735266881000808,0.00226822798817389
5000,0.03,20,0.6,0.8,0.3,0,93,264.9,17.0623000000007,0.795563309195819,0.00180120267667718,0.73492908212705,0.0023583713741441
1000,0.1,5,1,0.6,0.3,0,94,62.5,3.2159499999987,0.798470400235447,0.00117431891096264,0.745209705077008,0.00188995567928804
200,0.01,50,0.8,0.4,0.1,0,95,1480,13.2478000000017,0.798375782795846,0.0011231844011915,0.734993243028463,0.00207382755742672
1000,0.03,5,0.6,0.4,0.01,0,96,251.1,9.88720000000103,0.797275655936365,0.00136004630381936,0.735383890141345,0.00224481656330881
500,0.03,5,1,0.8,0,0,97,258.05,5.60144999999975,0.7987741476891,0.00171947420420652,0.74088849289184,0.00164564057247875
100,0.1,20,0.6,0.6,0,0,98,176.6,1.33499999999985,0.773051885819882,0.00130847522100934,0.71866603961427,0.00221475239438002
2000,0.03,20,0.8,0.4,0,0,99,173.15,14.9591000000008,0.807887265763082,0.00120023895564672,0.739892105989912,0.00207923763164267
100,0.03,10,0.6,0.6,0,0.1,100,505.15,2.97780000000057,0.77397432032672,0.00164066104084039,0.720098084346301,0.00190502172765001
,,,,,,,0,,,,,0.748092655481907,0.00199707595601828
